config_id,map_name,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
beams_18,simple_room,50,0.72,1.6435644891339902,2.6848795590871393,0.04181280632649289,0.8815468685177964,1.3919989617294828,0.017534293649149157,0.9990636398112035,0.0014975027236873992,4.342193523379683
beams_36,simple_room,50,0.72,1.6639548697929893,2.7469768579087543,0.05616921381232563,0.8732195717560899,1.3782351325158102,0.02111128852116062,0.9989735597952738,0.0015871682783581433,8.0592231232411
beams_72,simple_room,50,0.76,1.5333089937196487,2.705162734538162,0.03573451372813126,0.7545714873459249,1.3267756441748937,0.008685616643378413,0.9991560269425074,0.001227174073838532,15.445172710840415
beams_108,simple_room,50,0.7,1.712271560698913,2.7080852886743885,0.045526148383830047,0.9339938053172482,1.4125313227687326,0.01196212878464653,0.9985871384864291,0.0023190718745957064,22.903988284220105
beams_144,simple_room,50,0.68,2.0641073237540026,2.997188889205969,0.04296514030473683,1.001603793735944,1.4442544752687518,0.013107487803688755,0.9989216544773463,0.0011067586199333024,30.378488137460373
beams_18,complex_room,50,0.4,1.5018121402829814,1.612345423045233,0.9535127905769778,1.343034638008251,1.339836763464888,0.7853656813261853,0.9974071563040229,0.002166527708793398,2.7613023500406415
beams_36,complex_room,50,0.62,1.2749330061511284,1.6467373277646336,0.07211028360553169,0.8228616478471125,1.1076719045757488,0.037580523042417546,0.997552139255186,0.002791089337518682,4.8629229167406445
beams_72,complex_room,50,0.54,1.5267234332869837,1.9149835255052512,0.12290468066390356,0.8009482943343126,1.0564770116577866,0.04415133326549814,0.99668049285842,0.0034525216131057056,9.096517395040427
beams_108,complex_room,50,0.54,1.4540238269006454,1.7391696487645727,0.09974894174218796,0.9288713163299025,1.1409710725156283,0.05197743359788065,0.9963287683326371,0.0036163656238130384,13.443829131659585
beams_144,complex_room,50,0.5,1.8487870192815619,1.8755752083159152,0.9536514663001856,0.9226681292472757,1.0435282688920346,0.5185827688773177,0.9961571867611302,0.0036177283669160567,17.64801648174005
beams_18,corridor,50,0.4,1.6264678157492705,1.7640864643658247,0.7815228609368267,1.5181155659801064,1.4799390762390248,0.671213458065534,0.9973970199968452,0.002343901776214796,3.2957933799998136
beams_36,corridor,50,0.68,1.3137934701087515,2.0819448714979525,0.042423901961928356,1.0074491914596606,1.4535732945536668,0.013679342960684515,0.9986821132160196,0.0013435656154813847,5.928908568380866
beams_72,corridor,50,0.7,1.2349939986439984,2.1021522465760683,0.0436404755257528,0.9477287914997379,1.4256276988385,0.01575668073024783,0.9985368547174417,0.0013515734961579442,11.200990324159793
beams_108,corridor,50,0.72,1.1128207291953334,1.9753629841492768,0.032306769307210825,0.8802576796519372,1.3994628249697765,0.008800154462346832,0.9986893150227469,0.0014157217841580026,16.52245153755939
beams_144,corridor,50,0.6,1.5216103250467687,2.1809603812773437,0.036597759193549254,1.2572854813149652,1.529227648922877,0.014958594477034515,0.9983936711942192,0.0014856925649122177,21.809330503260135
