map_name,num_beams,method,n_runs,success_rate,mean_position_error,std_position_error,median_position_error,mean_theta_error,std_theta_error,median_theta_error,mean_best_fitness,std_best_fitness,mean_runtime_seconds
simple_room,72,scan_only,50,0.72,1.8262566553508628,2.908005895905439,0.043871711530292595,0.8814402562420699,1.4015347140110852,0.0076223716683716525,0.9996350194206756,0.0010292928008398257,15.280529404158878
simple_room,72,perception_aware,50,0.76,1.5333089937196487,2.705162734538162,0.03573451372813126,0.7545714873459249,1.3267756441748937,0.008685616643378413,0.9991560269425074,0.001227174073838532,15.490673254280118
easy_room,72,scan_only,50,0.62,1.6021727822863974,2.320172440004949,0.07527359736880021,1.079384940749059,1.4396892205263558,0.013718155851676794,0.9977656004270727,0.0031246089263015876,12.10200769499992
easy_room,72,perception_aware,50,0.66,1.7628856049596107,2.5856469895643484,0.055148743820877075,1.0519958887618908,1.4468994280558407,0.021897813774577113,0.9980146235791131,0.0025559036856712377,12.234578835819557
medium_room,72,scan_only,50,0.54,1.8999081925523882,2.0914245963960765,0.12677184595269156,1.01206581687147,1.2214690225844411,0.043057894340492675,0.9963752238592036,0.00405821675715579,10.739255248280243
medium_room,72,perception_aware,50,0.68,1.305345309341618,1.8826816446951984,0.05747810518425918,0.6815876054234485,1.0795327038494604,0.019164650696744667,0.99634375709293,0.0045206330814951705,11.010476733300312
complex_room,72,scan_only,50,0.4,2.1197827865415575,2.1400374722963464,1.812489954981237,1.2749824244914252,1.1812326008614793,1.48196592554858,0.9967032245480116,0.0029490188745033706,8.975321350819431
complex_room,72,perception_aware,50,0.54,1.5267234332869837,1.9149835255052512,0.12290468066390356,0.8009482943343126,1.0564770116577866,0.04415133326549814,0.99668049285842,0.0034525216131057056,9.30973472841928
corridor,72,scan_only,50,0.54,1.540148095853703,2.0531554235161598,0.06452590619615711,1.4446465819431231,1.5551042902169354,0.023613236870589693,0.9992685557508877,0.0006957727923705816,11.376664670801256
corridor,72,perception_aware,50,0.7,1.2349939986439984,2.1021522465760683,0.0436404755257528,0.9477287914997379,1.4256276988385,0.01575668073024783,0.9985368547174417,0.0013515734961579442,11.359682606720307
